Keyword,Avg Monthly Searches,Competition,Date Range,Campaign,Location,Location ID,Languages,Networks,Ad Group,Keyword Type,Segmentation,Estimated Clicks,Estimated Impressions,Estimated Cost,Estimated CTR,Estimated Average CPC,Account Currency,Bidding Strategy Type,Daily Budget
lithium battery manufacturers,5000,20,,,,,,,,,,,,,,,,,
lithium ion battery manufacturers,5000,20,,,,,,,,,,,,,,,,,
lithium ion battery suppliers,5000,20,,,,,,,,,,,,,,,,,
lithium battery companies,5000,32,,,,,,,,,,,,,,,,,
lithium ion battery companies,5000,32,,,,,,,,,,,,,,,,,
lithium cell manufacturers,5000,20,,,,,,,,,,,,,,,,,
lithium battery pack manufacturer,500,13,,,,,,,,,,,,,,,,,
lithium battery supplier,500,38,,,,,,,,,,,,,,,,,
lithium ion battery pack manufacturers,500,13,,,,,,,,,,,,,,,,,
lithium battery cell manufacturers,500,14,,,,,,,,,,,,,,,,,
lfp cell manufacturers,500,10,,,,,,,,,,,,,,,,,
li battery manufacturers,500,38,,,,,,,,,,,,,,,,,
lithium ion battery pack suppliers,500,13,,,,,,,,,,,,,,,,,
lifepo4 forklift battery,50,33,,,,,,,,,,,,,,,,,
,,,"June 1, 2026 - June 30, 2026 (month)",Campaign1,,,,Google Search,,,Campaign total,1.53,24.43,1103.43,6.3%,721.59,INR,Maximize Clicks,460.00
,,,,Campaign1,,,,,,,Desktop,0.32,8.96,311.68,3.5%,986.88,INR,,
,,,,Campaign1,,,,,,,Mobile,1.21,15.46,791.75,7.8%,652.54,INR,,
,,,,Campaign1,,,,,,,Tablet,0,0,0.00,,,INR,,
,,,,Campaign1,India,2356,,,,,India,1.53,24.43,1103.43,6.3%,721.59,INR,,
,,,,Campaign1,,,,,,,India - Desktop,0.32,8.96,311.68,3.5%,986.88,INR,,
,,,,Campaign1,,,,,,,India - Mobile,1.21,15.46,791.75,7.8%,652.54,INR,,
,,,,Campaign1,,,,,,,India - Tablet,0,0,0.00,,,INR,,
,,,,,,,,,,,,,,,,,,,
